Date,Status,Outer,Previous_ratting,Current_ratting,Previous_price,Current_price
2023-01-23,Reiterated,Truist,Hold,Hold,29,33
2023-01-23,Reiterated,Susquehanna,Negative,Negative,22,24
2022-11-22,Resumed,Mizuho,Neutral,Neutral,32,32
2022-11-21,Resumed,Cowen,Market Perform,Market Perform,31,31
2022-11-21,Initiated,Cowen,Market Perform,Market Perform,31,31
2022-11-16,Resumed,Credit Suisse,Neutral,Neutral,28,28
2022-11-11,Downgrade,JP Morgan,Overweight,Underweight,64,32
2022-10-28,Upgrade,Summit Insights,Hold,Buy,,
2022-10-28,Upgrade,Barclays,Underweight,Equal Weight,30,30
2022-10-28,Reiterated,Truist,Hold,Hold,40,29
2022-10-28,Reiterated,Stifel,Hold,Hold,32,28
2022-10-28,Reiterated,ROTH Capital,Neutral,Neutral,40,30
2022-10-28,Reiterated,Rosenblatt,Sell,Sell,30,20
2022-10-28,Reiterated,Evercore ISI,In-line,In-line,40,30
2022-10-28,Reiterated,Citigroup,Neutral,Neutral,30,27
2022-10-28,Reiterated,BofA Securities,Underperform,Underperform,30,28
2022-10-24,Initiated,HSBC Securities,Reduce,Reduce,23,23
2022-10-11,Reiterated,Needham,Buy,Buy,40,32
2022-09-08,Initiated,Stifel,Hold,Hold,32,32
2022-08-02,Downgrade,DZ Bank,Hold,Sell,30,30
